prep_1,case_1,prep_2,case_2,label
вместе с,твор,в отрыве от,род,комитатив
вместе с,твор,выключая,вин,комитатив
вместе с,твор,за вычетом,род,комитатив
вместе с,твор,исключая,вин,комитатив
вместе с,твор,опричь,род,комитатив
вместе с,твор,помимо,род,комитатив
вместо,род,наряду с,твор,квалификатив
вне,род,в условиях,род,ситуатив
вне,род,промеж,род,локатив
вне зависимости от,род,в зависимости от,род,каузатив
вне зависимости от,род,смотря по,дат,инструментив
вне пределов,род,включая,вин,комитатив
вне рамок,род,включая,вин,комитатив
вне рамок,род,в рамках,род,тематив
вне связи с,твор,насчет,род,тематив
вне соотнесения с,твор,по сравнению с,твор,квалификатив
вне сферы,род,включая,вин,комитатив
вне сферы,род,в рамках,род,тематив
внутрь,род,наружу,род,директив
внутрь,род,за границу,род,директив
внутрь,род,за границы,род,директив
внутрь,род,за пределы,род,директив
внутрь,род,за рамки,род,директив
внутрь,род,за рубеж,род,директив
внутрь,род,снаружи,род,директив
во избежание,род,в целях,род,потенсив
вовнутрь,род,наружу,род,директив
вовнутрь,род,за границу,род,директив
вовнутрь,род,за границы,род,директив
вовнутрь,род,за пределы,род,директив
вовнутрь,род,за рамки,род,директив
вовнутрь,род,за рубеж,род,директив
вовнутрь,род,снаружи,род,директив
возле,род,вдали от,род,локатив
возле,род,в удалении от,род,локатив
возле,род,в отдалении от,род,локатив
возле,род,поодаль от,род,локатив
вокруг,род,вдали от,род,локатив
вопреки,дат,согласно с,твор,директив
вопреки,дат,согласно,дат,директив
вопреки,дат,благодаря,дат,директив
вопреки,дат,в согласии,род,директив
вопреки,род,в соответствии с,твор,квалификатив
вопреки,дат,в угодность,дат,директив
вопреки,дат,в угоду,дат,директив
вопреки,дат,вследствие,род,директив
вопреки,дат,под начало,род,директив
вопреки,дат,под началом,род,директив
вопреки,дат,под стать,дат,директив
вопреки,дат,под тон,род,директив
вопреки,дат,под тон,дат,директив
вопреки,дат,при помощи,род,директив
вопреки,дат,ради,род,директив
вперед,род,позади,род,локатив
впереди,род,сзади,род,локатив
впереди,род,позади,род,локатив
впереди,род,позади,род,локатив
вправду,им,под видом,род,квалификатив
враждебно,дат,подобно,дат,квалификатив
вразрез,дат,согласно,дат,квалификатив
вразрез,дат,вдоль,род,локатив
вразрез,дат,в соответствии с,твор,квалификатив
вразрез с,твор,в соответствии с,твор,квалификатив
вследствие,род,вопреки,дат,каузатив
вследствие,род,несмотря на,вин,каузатив
вследствие,род,поперёк,род,каузатив
выключая,вин,вместе с,твор,комитатив
выключая,вин,включая,вин,комитатив
глядя на,вин,несмотря на,вин,комитатив
глядя по,дат,несмотря на,вин,комитатив
далеко за,вин,вблизи,род,локатив
далеко за,вин,поблизости от,род,локатив
далеко за,вин,рядом с,твор,локатив
далеко от,род,вблизи,род,локатив
далеко от,род,вблизи от,род,локатив
далеко от,род,невдалеке от,род,локатив
далеко от,род,недалеко от,род,локатив
далеко от,род,окрест,род,локатив
далеко от,род,поблизости от,род,локатив
далеко от,род,подле,род,локатив
далеко от,род,рядом с,твор,локатив
далече от,род,поблизости от,род,локатив
далече от,род,подле,род,локатив
дальше от,род,поблизости от,род,локатив
действительно,им,под видом,род,квалификатив
для,род,в ущерб,дат,дестинатив
до,род,в продолжение,род,каузатив
до,род,в течение,род,темпоратив
до,род,позади,род,локатив
за,твор,в преддверии,род,темпоратив
за,твор,на пути,род,тематив
за версту от,род,подле,род,локатив
за вычетом,род,вместе с,твор,комитатив
за вычетом,род,включая,вин,комитатив
за границу,род,внутрь,род,директив
за границу,род,вовнутрь,род,директив
за границы,род,внутрь,род,директив
за границы,род,вовнутрь,род,директив
за исключением,род,включая,вин,квалификатив
за исключением,род,беря в расчет,вин,квалификатив
за исключением,род,вместе,твор,квалификатив
за исключением,род,в течение,род,квалификатив
за пределы,род,внутрь,род,директив
за пределы,род,вовнутрь,род,директив
за рамками,род,в рамках,род,тематив
за рамки,род,внутрь,род,директив
за рамки,род,вовнутрь,род,директив
за рубеж,род,внутрь,род,директив
за рубеж,род,вовнутрь,род,директив
за семь верст от,род,подле,род,локатив
за семью морями от,род,подле,род,локатив
заместо,род,наряду с,твор,комитатив
из-за,род,несмотря на,вин,комитатив
исключая,вин,включая,вин,квалификатив
исключая,вин,наряду с,твор,квалификатив
исключая,вин,вместе с,твор,квалификатив
исключая,вин,в течение,род,квалификатив
как до Луны от,род,подле,род,локатив
кроме,род,включая,вин,комитатив
минуя,вин,включая,вин,комитатив
на большом расстоянии от,род,подле,род,локатив
на манер,род,в отличие от,род,квалификатив
на почтительном расстоянии от,род,подле,род,локатив
на пути,род,за,твор,тематив
на самом деле это,им,под видом,род,квалификатив
на стороне,род,против,род,квалификатив
накануне,род,после,род,темпоратив
накануне,род,позднее,род,темпоратив
наперекор,дат,благодаря,дат,директив
наперекор,дат,в направлении,род,директив
наперекор,дат,по направлению к,дат,директив
наперекор,дат,в направлении к,дат,директив
наперекор,дат,в соответствии с,твор,директив
наперекор,дат,при помощи,род,директив
наперекор,дат,ради,род,директив
наперекор,дат,под стать,дат,директив
наподобие,род,против,род,квалификатив
напротив,род,сзади,род,локатив
напротив,дат,благодаря,дат,каузатив
наружу,род,внутрь,род,директив
наружу,род,вовнутрь,род,директив
наряду с,твор,исключая,вин,комитатив
наряду с,твор,вместо,род,комитатив
наряду с,твор,взамен,род,комитатив
наряду с,твор,заместо,род,комитатив
наряду с,твор,опричь,род,комитатив
наряду с,твор,помимо,род,комитатив
насчет,род,вне связи с,твор,тематив
не без,род,без,род,комитатив
не беря в расчет,вин,включая,вин,комитатив
не в пример,дат,по примеру,род,квалификатив
не считая,вин,включая,вин,комитатив
не считая,вин,в течение,род,комитатив
не считая,род,включая,вин,комитатив
неблизко от,род,поблизости от,род,локатив
невдалеке от,род,далеко от,род,локатив
невдалеке от,род,вдалеке от,род,локатив
невзирая на,вин,в зависимости от,род,комитатив
невзирая на,вин,в соответствии с,твор,комитатив
невзирая на,вин,ради,род,комитатив
невзирая на,вин,под председательством,род,комитатив
невзирая на,вин,под стать,дат,комитатив
невзирая на,вин,под тон,род,комитатив
невзирая на,вин,под тон,дат,комитатив
невзирая на,вин,под углом,род,комитатив
недалеко от,род,далеко от,род,локатив
недалеко от,род,вдалеке от,род,локатив
недалеко от,род,вдали от,род,локатив
независимо от,род,в зависимости от,род,квалификатив
независимо от,род,в содружестве с,твор,квалификатив
независимо от,род,в сообществе с,твор,квалификатив
независимо от,род,в сопоставлении с,твор,квалификатив
независимо от,род,в сравнении с,твор,квалификатив
независимо от,род,в части,род,квалификатив
независимо от,род,под каблуком,род,квалификатив
независимо от,род,под командованием,род,квалификатив
независимо от,род,под председательством,род,квалификатив
независимо от,род,с учётом,род,квалификатив
неподалёку от,род,вдалеке от,род,локатив
неподалёку от,род,вдали от,род,локатив
непохоже на,вин,а-ля,им,квалификатив
непохоже на,вин,подобно,дат,квалификатив
несмотря на,вин,из-за,род,комитатив
несмотря на,вин,благодаря,дат,комитатив
несмотря на,вин,вследствие,род,комитатив
несмотря на,вин,в соответствии с,твор,комитатив
несмотря на,вин,глядя на,вин,комитатив
несмотря на,вин,глядя по,дат,комитатив
несмотря на,вин,под начало,род,комитатив
несмотря на,вин,под началом,род,комитатив
несмотря на,вин,под председательством,род,комитатив
несмотря на,вин,под стать,дат,комитатив
несмотря на,вин,под тон,род,комитатив
несмотря на,вин,под тон,дат,комитатив
несмотря на,вин,под углом,род,комитатив
несмотря на,вин,позади,род,комитатив
несмотря на,вин,при помощи,род,комитатив
несмотря на,вин,ради,род,комитатив
несходно,дат,подобно,дат,квалификатив
обок,род,вдалеке от,род,локатив
обок,род,вдали от,род,локатив
обратно,дат,подобно,дат,квалификатив
одаль,род,близ,род,локатив
одаль от,род,подле,род,локатив
около,род,вдалеке от,род,локатив
около,род,вдали от,род,локатив
окрест,род,далеко от,род,локатив
окрест,род,вдалеке от,род,локатив
окрест,род,вдали от,род,локатив
округ,род,вдалеке от,род,локатив
округ,род,вдали от,род,локатив
опричь,род,наряду с,твор,комитатив
опричь,род,вместе с,твор,комитатив
от сравнения с,твор,по сравнению с,твор,квалификатив
отдельно от,род,вместе с,твор,комитатив
отлично,род,а-ля,им,квалификатив
отлично от,род,в виде,род,квалификатив
отлично от,род,подобно,дат,квалификатив
перед,твор,позади,род,локатив
передо,твор,позади,род,локатив
передо,твор,позади,род,локатив
по направлению к,дат,наперекор,дат,директив
по примеру,род,не в пример,дат,квалификатив
по сравнению с,твор,вне соотнесения с,твор,квалификатив
по сравнению с,твор,без соотнесения с,твор,квалификатив
по сравнению с,твор,без сопоставления с,твор,квалификатив
по сравнению с,твор,от сравнения с,твор,квалификатив
по сравнению с,твор,без сравнения с,твор,квалификатив
по сравнению с,твор,без данных,твор,квалификатив
по ширине,род,вдоль,род,локатив
поблизости от,род,вдали от,род,локатив
поблизости от,род,вдалеке от,род,локатив
поблизости от,род,далеко от,род,локатив
поблизости от,род,дальше от,род,локатив
поблизости от,род,подальше от,род,локатив
поблизости от,род,подалеку от,род,локатив
поблизости от,род,далече от,род,локатив
поблизости от,род,неблизко от,род,локатив
поблизости от,род,далеко за,вин,локатив
поблизости от,род,поодаль от,род,локатив
под видом,род,действительно,им,квалификатив
под видом,род,на самом деле это,им,квалификатив
под видом,род,вправду,им,квалификатив
под видом,род,взаправду,им,квалификатив
под каблуком,род,независимо от,род,квалификатив
под командованием,род,независимо от,род,квалификатив
под начало,род,вопреки,дат,директив
под начало,род,несмотря на,вин,комитатив
под началом,род,вопреки,дат,директив
под началом,род,несмотря на,вин,комитатив
под носом у,род,вдалеке от,род,локатив
под носом у,род,вдали от,род,локатив
под носом у,род,в стороне от,род,локатив
под председательством,род,независимо от,род,квалификатив
под председательством,род,несмотря на,вин,комитатив
под председательством,род,невзирая на,вин,комитатив
под стать,дат,вопреки,дат,директив
под стать,дат,несмотря на,вин,комитатив
под стать,дат,невзирая на,вин,комитатив
под стать,дат,наперекор,дат,директив
под стать,дат,поперек,род,локатив
под тон,род,вопреки,дат,директив
под тон,род,несмотря на,вин,комитатив
под тон,род,невзирая на,вин,комитатив
под тон,дат,вопреки,дат,директив
под тон,дат,несмотря на,вин,комитатив
под тон,дат,невзирая на,вин,комитатив
под углом,род,несмотря на,вин,комитатив
под углом,род,невзирая на,вин,комитатив
подалеку от,род,поблизости от,род,локатив
подальше от,род,поблизости от,род,локатив
подле,род,поодаль от,род,локатив
подле,род,в отдалении от,род,локатив
подле,род,вдалеке от,род,локатив
подле,род,вдали от,род,локатив
подле,род,на почтительном расстоянии от,род,локатив
подле,род,за семь верст от,род,локатив
подле,род,как до Луны от,род,локатив
подле,род,на большом расстоянии от,род,локатив
подле,род,в стороне от,род,локатив
подле,род,далеко от,род,локатив
подле,род,одаль от,род,локатив
подле,род,далече от,род,локатив
подле,род,за семью морями от,род,локатив
подле,род,за версту от,род,локатив
подобно,дат,непохоже на,вин,квалификатив
подобно,дат,в отличие от,род,квалификатив
подобно,дат,несходно,дат,квалификатив
подобно,дат,полярно,дат,квалификатив
подобно,дат,противоположно,дат,квалификатив
подобно,дат,отлично от,род,квалификатив
подобно,дат,противно,дат,квалификатив
подобно,дат,антагонистично,дат,квалификатив
подобно,дат,враждебно,дат,квалификатив
подобно,дат,в противоречии с,твор,квалификатив
подобно,дат,супротивно,дат,квалификатив
подобно,дат,обратно,дат,квалификатив
позади,род,перед,твор,локатив
позади,род,против,род,локатив
позади,род,впереди,род,локатив
позади,род,передо,твор,локатив
позади,род,несмотря на,вин,локатив
позади,род,сбоку от,род,локатив
позади,род,передо,твор,локатив
позади,род,до,род,локатив
позади,род,вперед,род,локатив
позади,род,впереди,род,локатив
позади,род,поперёк,род,локатив
позади,род,противу,род,локатив
позади,род,сбоку,род,локатив
позднее,род,накануне,род,темпоратив
полярно,дат,подобно,дат,квалификатив
помимо,род,вместе с,твор,комитатив
помимо,род,наряду с,твор,комитатив
помимо,род,в сравнении с,твор,квалификатив
помимо,род,включая,вин,комитатив
поодаль от,род,рядом с,твор,локатив
поодаль от,род,подле,род,локатив
поодаль от,род,возле,род,локатив
поодаль от,род,близ,род,локатив
поодаль от,род,поблизости от,род,локатив
поперек,род,вдоль,род,локатив
поперек,род,вдоль по,дат,локатив
поперёк,род,вдоль,род,локатив
поперёк,род,согласно,дат,квалификатив
поперёк,род,позади,род,локатив
поперёк,род,вследствие,род,каузатив
поперёк,род,сзади,род,локатив
поперёк,род,в соответствии с,твор,квалификатив
поперёк,род,рядом с,твор,локатив
поперек,род,под стать,дат,локатив
после,род,накануне,род,темпоратив
после,род,в течение,род,темпоратив
после,род,в преддверии,род,темпоратив
посредством,род,противно,дат,инструментив
при помощи,род,вопреки,дат,директив
при помощи,род,наперекор,дат,директив
при помощи,род,несмотря на,вин,комитатив
промеж,род,вне,род,локатив
против,род,позади,род,локатив
против,род,сзади,род,локатив
против,род,благодаря,дат,каузатив
против,род,в соответствии с,твор,квалификатив
против,род,вдоль,род,локатив
против,род,на стороне,род,квалификатив
против,род,наподобие,род,квалификатив
против интересов,род,в интересах,род,дестинатив
противно,дат,благодаря,дат,каузатив
противно,дат,посредством,род,инструментив
противно,дат,подобно,дат,квалификатив
противоположно,дат,подобно,дат,квалификатив
противу,род,позади,род,локатив
противу,род,сзади,род,локатив
противу,род,благодаря,дат,каузатив
ради,род,вопреки,дат,директив
ради,род,наперекор,дат,директив
ради,род,несмотря на,вин,комитатив
ради,род,невзирая на,вин,комитатив
раздельно с,род,вместе с,твор,комитатив
различно с,твор,а-ля,им,квалификатив
рядом с,твор,далеко от,род,локатив
рядом с,твор,вдали от,род,локатив
рядом с,твор,вдалеке от,род,локатив
рядом с,твор,в стороне от,род,локатив
рядом с,твор,далеко за,вин,локатив
рядом с,твор,поодаль от,род,локатив
рядом с,твор,поперёк,род,локатив
с ведома,род,без ведома,род,ситуатив
с согласия,род,без ведома,род,ситуатив
с участием,род,без ведома,род,ситуатив
с учётом,род,независимо от,род,квалификатив
сбоку,род,сзади,род,локатив
сбоку,род,позади,род,локатив
сбоку от,род,сзади,род,локатив
сбоку от,род,позади,род,локатив
сверх,род,благодаря,дат,каузатив
сзади,род,впереди,род,локатив
сзади,род,спереди,род,локатив
сзади,род,против,род,локатив
сзади,род,напротив,род,локатив
сзади,род,поперёк,род,локатив
сзади,род,противу,род,локатив
сзади,род,сбоку,род,локатив
сзади,род,сбоку от,род,локатив
сквозь,вин,вдоль,род,локатив
скрозь,вин,вдоль,род,локатив
смотря по,дат,вне зависимости от,род,инструментив
снаружи,род,внутрь,род,директив
снаружи,род,вовнутрь,род,директив
совместно с,твор,в отрыве от,род,комитатив
согласно,дат,вопреки,дат,квалификатив
согласно,дат,вразрез,дат,квалификатив
согласно,дат,поперёк,род,квалификатив
согласно с,твор,вопреки,дат,квалификатив
спереди,род,сзади,род,локатив
супротивно,дат,подобно,дат,квалификатив
